"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila mediaani [°C]"
"Turku Artukainen","2023","8","18","01:00","16"
"Turku Artukainen","2023","8","18","02:00","15.1"
"Turku Artukainen","2023","8","18","03:00","15.3"
"Turku Artukainen","2023","8","18","04:00","15.4"
"Turku Artukainen","2023","8","18","05:00","15.2"
"Turku Artukainen","2023","8","18","06:00","14.8"
"Turku Artukainen","2023","8","18","07:00","14.4"
"Turku Artukainen","2023","8","18","08:00","14.8"
"Turku Artukainen","2023","8","18","09:00","15.7"
"Turku Artukainen","2023","8","18","10:00","17.5"
"Turku Artukainen","2023","8","18","11:00","19"
"Turku Artukainen","2023","8","18","12:00","19.5"
"Turku Artukainen","2023","8","18","13:00","20.4"
"Turku Artukainen","2023","8","18","14:00","21"
"Turku Artukainen","2023","8","18","15:00","21.2"
"Turku Artukainen","2023","8","18","16:00","21.8"
"Turku Artukainen","2023","8","18","17:00","21.5"
"Turku Artukainen","2023","8","18","18:00","21"
"Turku Artukainen","2023","8","18","19:00","20.7"
"Turku Artukainen","2023","8","18","20:00","19.7"
"Turku Artukainen","2023","8","18","21:00","19.1"
"Turku Artukainen","2023","8","18","22:00","18.7"
"Turku Artukainen","2023","8","18","23:00","18"
"Turku Artukainen","2023","8","19","00:00","17.6"
"Turku Artukainen","2023","8","19","01:00","17"
"Turku Artukainen","2023","8","19","02:00","16.7"
"Turku Artukainen","2023","8","19","03:00","16.5"
"Turku Artukainen","2023","8","19","04:00","16.3"
"Turku Artukainen","2023","8","19","05:00","16.5"
"Turku Artukainen","2023","8","19","06:00","16.3"
"Turku Artukainen","2023","8","19","07:00","16.1"
"Turku Artukainen","2023","8","19","08:00","16"
"Turku Artukainen","2023","8","19","09:00","15.9"
"Turku Artukainen","2023","8","19","10:00","15.8"
"Turku Artukainen","2023","8","19","11:00","16.3"
"Turku Artukainen","2023","8","19","12:00","17.9"
"Turku Artukainen","2023","8","19","13:00","18.3"
"Turku Artukainen","2023","8","19","14:00","18.3"
"Turku Artukainen","2023","8","19","15:00","18.6"
"Turku Artukainen","2023","8","19","16:00","18.5"
"Turku Artukainen","2023","8","19","17:00","18.1"
"Turku Artukainen","2023","8","19","18:00","18.6"
"Turku Artukainen","2023","8","19","19:00","18.2"
"Turku Artukainen","2023","8","19","20:00","17.9"
"Turku Artukainen","2023","8","19","21:00","17"
"Turku Artukainen","2023","8","19","22:00","15.7"
"Turku Artukainen","2023","8","19","23:00","13.5"
"Turku Artukainen","2023","8","20","00:00","12.6"
"Turku Artukainen","2023","8","20","01:00","12.2"
"Turku Artukainen","2023","8","20","02:00","12.1"
"Turku Artukainen","2023","8","20","03:00","11.1"
"Turku Artukainen","2023","8","20","04:00","10.9"
"Turku Artukainen","2023","8","20","05:00","10.7"
"Turku Artukainen","2023","8","20","06:00","10.9"
"Turku Artukainen","2023","8","20","07:00","10.8"
"Turku Artukainen","2023","8","20","08:00","12.6"
"Turku Artukainen","2023","8","20","09:00","14.1"
"Turku Artukainen","2023","8","20","10:00","15.9"
"Turku Artukainen","2023","8","20","11:00","17.8"
"Turku Artukainen","2023","8","20","12:00","18.8"
"Turku Artukainen","2023","8","20","13:00","19.9"
"Turku Artukainen","2023","8","20","14:00","20.7"
"Turku Artukainen","2023","8","20","15:00","20.9"
"Turku Artukainen","2023","8","20","16:00","20.9"
"Turku Artukainen","2023","8","20","17:00","21"
"Turku Artukainen","2023","8","20","18:00","20.7"
"Turku Artukainen","2023","8","20","19:00","19.9"
"Turku Artukainen","2023","8","20","20:00","19"
"Turku Artukainen","2023","8","20","21:00","17.6"
"Turku Artukainen","2023","8","20","22:00","16.6"
"Turku Artukainen","2023","8","20","23:00","15.6"
"Turku Artukainen","2023","8","21","00:00","16.1"
"Turku Artukainen","2023","8","21","01:00","16.5"
"Turku Artukainen","2023","8","21","02:00","16.4"
"Turku Artukainen","2023","8","21","03:00","16.1"
"Turku Artukainen","2023","8","21","04:00","15.6"
"Turku Artukainen","2023","8","21","05:00","15.1"
"Turku Artukainen","2023","8","21","06:00","14.7"
"Turku Artukainen","2023","8","21","07:00","14.3"
"Turku Artukainen","2023","8","21","08:00","14.6"
"Turku Artukainen","2023","8","21","09:00","15"
"Turku Artukainen","2023","8","21","10:00","15.3"
"Turku Artukainen","2023","8","21","11:00","15.7"
"Turku Artukainen","2023","8","21","12:00","16.1"
"Turku Artukainen","2023","8","21","13:00","16.8"
"Turku Artukainen","2023","8","21","14:00","18"
"Turku Artukainen","2023","8","21","15:00","18.8"
"Turku Artukainen","2023","8","21","16:00","19.3"
"Turku Artukainen","2023","8","21","17:00","19.1"
"Turku Artukainen","2023","8","21","18:00","19.1"
"Turku Artukainen","2023","8","21","19:00","18.8"
"Turku Artukainen","2023","8","21","20:00","18.4"
"Turku Artukainen","2023","8","21","21:00","16.8"
"Turku Artukainen","2023","8","21","22:00","15.3"
"Turku Artukainen","2023","8","21","23:00","14.8"
"Turku Artukainen","2023","8","22","00:00","14.5"
"Turku Artukainen","2023","8","22","01:00","14.1"
"Turku Artukainen","2023","8","22","02:00","13.5"
"Turku Artukainen","2023","8","22","03:00","12.9"
"Turku Artukainen","2023","8","22","04:00","12.8"
"Turku Artukainen","2023","8","22","05:00","12.6"
"Turku Artukainen","2023","8","22","06:00","12.1"
"Turku Artukainen","2023","8","22","07:00","11.7"
"Turku Artukainen","2023","8","22","08:00","13.2"
"Turku Artukainen","2023","8","22","09:00","16"
"Turku Artukainen","2023","8","22","10:00","17.8"
"Turku Artukainen","2023","8","22","11:00","18.8"
"Turku Artukainen","2023","8","22","12:00","19.8"
"Turku Artukainen","2023","8","22","13:00","20.4"
"Turku Artukainen","2023","8","22","14:00","21.8"
"Turku Artukainen","2023","8","22","15:00","22.1"
"Turku Artukainen","2023","8","22","16:00","19.7"
"Turku Artukainen","2023","8","22","17:00","19.9"
"Turku Artukainen","2023","8","22","18:00","19.4"
"Turku Artukainen","2023","8","22","19:00","18.1"
"Turku Artukainen","2023","8","22","20:00","17.5"
"Turku Artukainen","2023","8","22","21:00","16.9"
"Turku Artukainen","2023","8","22","22:00","16.7"
"Turku Artukainen","2023","8","22","23:00","16.5"
"Turku Artukainen","2023","8","23","00:00","16.2"
"Turku Artukainen","2023","8","23","01:00","16.1"
"Turku Artukainen","2023","8","23","02:00","15.9"
"Turku Artukainen","2023","8","23","03:00","15.7"
"Turku Artukainen","2023","8","23","04:00","15.1"
"Turku Artukainen","2023","8","23","05:00","15.1"
"Turku Artukainen","2023","8","23","06:00","14.4"
"Turku Artukainen","2023","8","23","07:00","14.2"
